SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1553698402,-0.659232,0.340372,-0.263986,-0.379208,-0.665892,6.986887,-1.594618,2.755744,-1.95868,0
1553731736,0.059288,0.034198,0.541141,-0.124919,-2.090708,6.625872,-1.467184,3.078712,-0.751751,0
1553765070,-0.274478,0.392745,0.013916,0.55009,-0.034581,7.539801,0.160023,2.71801,0.551886,0
1553798404,-0.603204,0.591601,0.180299,0.57895,1.019053,5.198029,3.118959,1.612445,2.217183,0
1553831738,-0.686739,0.511106,-0.296564,1.681323,2.216679,2.594747,3.92523,-1.049487,4.798484,0
1553865072,-0.419705,-0.107535,0.572178,2.196395,2.322756,1.034285,4.301143,-6.276105,8.237658,0
1553898406,-0.138535,-0.384911,0.57315,2.87957,1.282619,-0.637491,4.991689,-4.275539,5.783257,0
1553931740,0.186049,-0.365196,0.572522,2.170746,0.569341,-2.13786,3.393584,-4.967039,7.313244,0
1553965074,0.244529,0.178207,0.921971,1.921204,-0.441133,-2.747207,1.080069,-1.355826,7.49329,0
1553998408,0.076278,1.043185,0.721022,1.514993,-0.272751,-2.766497,0.091169,-0.191611,5.794073,0
1554031742,0.105179,0.838158,0.599376,1.241453,-0.959201,-2.334034,-0.304002,-0.642881,4.347432,0
1554065076,0.114072,0.286829,0.262101,0.866082,-0.051217,-2.212313,-1.074503,0.069399,2.979534,0
1554098410,0.178135,-0.385458,0.396565,-0.691157,-0.978263,-1.831553,-0.935902,-0.345284,0.8143,0
1554131744,0.168951,-0.256389,0.256233,-3.014936,-1.38531,-1.917478,-1.413949,0.216668,-2.436257,0
1554165078,0.411855,-0.149766,0.161685,-2.904643,-1.70861,5.65532,-3.02215,1.205081,-3.578355,0
1554198412,0.399802,-0.021222,0.086895,-1.449979,-2.743433,7.397833,-3.25988,1.890584,-4.9863,0
1554231746,0.276943,0.304664,0.219938,-0.111669,-4.585527,6.054963,-3.290562,2.050334,-4.702447,0
