SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
462947840,0.049802,0.213575,0.092815,0.116864,-0.05265,0.133608,1
462981174,0.156541,0.020744,0.107388,0.16262,-0.103174,0.175934,1
463014508,0.020116,0.108974,0.145676,0.168935,-0.092556,0.175909,1
463047842,0.057998,0.216576,0.094412,0.152508,-0.140855,0.146215,1
463081176,0.093504,0.244854,0.126419,0.155922,-0.091869,0.180808,1
463114510,0.038493,0.29896,0.15335,0.158789,-0.154269,0.24502,1
463147844,0.198451,0.315999,0.114208,0.108791,-0.137557,0.220808,1
463181178,0.1768,0.233075,0.118886,0.017809,-0.085344,0.255019,1
463214512,0.153082,0.221237,0.082576,-0.026194,-0.110428,0.233492,1
463247846,0.131291,0.114887,0.116852,-0.004622,-0.023402,0.154316,1
463281180,0.088255,0.122614,0.014608,0.036133,0.017165,0.108859,1
463314514,0.036299,0.181415,0.093802,0.024329,0.076313,0.0536,1
463347848,0.004849,0.091999,0.092809,0.053321,0.070516,0.11463,1
463381182,0.025165,0.212817,0.149914,0.068287,0.087873,0.170242,1
463414516,0.109667,0.166729,0.156174,0.105542,0.057447,0.245788,1
463447850,0.192312,0.196741,0.191139,0.098788,0.044313,0.260974,1
463481184,0.131077,0.132249,0.167893,0.039005,0.014141,0.254066,1
463514518,0.058009,0.181828,0.090421,-0.01249,-0.00354,0.285306,1
463547852,0.269477,0.246922,0.220154,-0.071072,-0.046078,0.308558,1
463581186,0.332544,0.087786,0.177266,-0.064783,-0.047588,0.289648,1
463614520,0.224302,0.202469,0.02354,-0.068358,-0.053562,0.246811,1
463647854,0.227744,0.189802,-0.177461,-0.091892,-0.028111,0.116775,1
463681188,0.205003,0.065745,-0.072223,-0.073975,-0.074711,0.183113,1
463714522,0.12444,-0.000646,0.07986,-0.071004,-0.060905,0.116374,1
463747856,-0.082857,0.010683,-0.087279,-0.014155,-0.014887,0.049429,1
463781190,-0.13752,0.184697,-0.020164,0.079064,-0.085886,0.042594,1
463814524,-0.292396,0.076386,0.243122,0.133534,-0.028704,0.062401,1
463847858,-0.139217,0.126996,0.047662,0.136092,-0.015169,0.09691,1
463881192,0.067459,0.167315,0.109019,0.226039,-0.00144,0.036512,1
