SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1058259033,0.158225,0.129383,0.129764,1.108839,0.772694,-1.184614,-0.00497,0.191805,0.053452,1
1058292367,0.024366,0.167173,0.107217,0.988542,0.312003,-0.83991,0.18948,0.137799,0.053134,1
1058325701,-0.021104,0.206046,0.053247,-0.06561,0.048543,0.033799,0.021741,0.004406,0.018078,1
1058359035,-0.131835,0.265289,0.000894,0.544524,0.444532,0.047792,0.178736,-0.200685,0.136847,1
1058392369,-0.369293,0.288109,-0.00174,0.256077,0.431956,0.390824,0.636404,0.141052,0.246538,1
1058425703,-0.493212,0.322734,0.025081,-0.293226,-0.110343,0.553523,0.24471,0.287334,0.239531,1
1058459037,-0.364881,0.374543,0.098736,-0.449996,-0.20111,0.130161,0.210845,0.063397,0.083045,1
1058492371,-0.113684,0.347712,0.016481,-0.280559,-0.253266,-0.146238,0.251265,-0.008698,0.033248,1
1058525705,0.095065,0.215475,0.05549,-0.388423,-0.330034,-0.205733,0.583356,-0.049663,0.016386,1
1058559039,0.323693,-0.062391,0.147068,-1.027391,-0.453371,0.098527,0.320188,-0.047682,-0.040191,1
1058592373,0.65595,-0.231813,0.22436,-0.682041,-0.177159,-0.056026,0.179573,0.156869,-0.021062,1
1058625707,0.841223,-0.313381,0.241915,-0.523841,-0.286792,0.282031,0.394216,-0.104777,0.248259,1
1058659041,0.762697,-0.215342,0.288347,-0.327852,-0.196987,0.311885,0.162735,0.069515,0.158463,1
1058692375,0.472778,-0.030691,0.118611,-0.135516,-0.042333,-0.00908,0.194741,0.254161,0.12684,1
1058725709,0.185653,0.143606,0.1063,-0.128707,0.171553,-0.075657,0.363063,0.380482,-0.009407,1
1058759043,-0.011385,0.246984,0.041379,0.159186,-0.105886,-0.184927,0.377269,0.230342,-0.032609,1
1058792377,-0.03638,0.241417,0.063289,0.133548,0.144214,-0.242286,0.393601,-0.017825,0.053214,1
1058825711,0.054179,0.178241,0.069237,0.171414,0.246321,-0.143858,0.130774,0.151437,0.060645,1
1058859045,0.169409,0.028151,0.111184,0.437657,-0.190633,0.258735,0.142795,0.253154,0.187763,1
1058892379,0.197563,-0.033099,0.142498,0.392512,0.040722,0.224689,-0.072836,0.12847,0.26771,1
1058925713,0.2246,0.001139,0.133587,0.056141,0.079541,-0.075184,-0.16786,0.353503,0.523497,1
1058959047,0.201937,0.085917,0.092275,0.112692,-1.136635,0.762419,-0.055376,0.6009,0.186434,1
1058992381,0.139807,0.142494,0.098798,0.649707,-0.641661,-0.2581,0.138668,-0.058527,0.160055,1
1059025715,0.064524,0.176695,0.067492,-0.753842,-0.741917,0.132341,0.37003,-0.377188,0.138394,1
1059059049,0.079247,0.132391,0.096629,-0.53444,-0.762803,0.319671,-0.083913,-0.676353,0.256606,1
1059092383,0.099329,0.05927,0.09149,0.175605,0.210855,-0.539381,0.099332,-0.80406,0.16509,1
1059125717,0.121676,0.04237,0.114067,-0.250393,0.00877,-0.230536,0.333738,-0.221883,0.043737,1
1059159051,0.138875,0.049496,0.130747,0.383601,-0.050237,-0.451104,0.114352,-0.180561,0.330637,1
1059192385,0.158312,0.058665,0.111613,-0.308282,0.386749,-0.207021,0.281532,-0.358261,0.383314,1
1059225719,0.158144,0.067678,0.109718,-0.341385,0.075137,0.044755,0.380073,0.184627,0.084872,1
1059259053,0.125106,0.075266,0.083605,0.365196,0.136281,-0.200657,0.216774,-0.029262,0.148939,1
1059292387,0.110282,0.092302,0.125654,0.466247,0.493619,-0.580066,0.482745,0.034634,-0.011894,1
1059325721,0.159501,0.132866,0.089786,-0.566576,0.101053,0.281396,0.443691,0.484753,-0.115506,1
1059359055,0.139445,0.092178,0.089932,0.105728,-0.116518,-0.06971,0.456619,0.358013,-0.039778,1
1059392389,0.116062,0.105783,0.097607,0.153496,-0.034202,-0.07646,0.134466,0.032553,0.059444,1
1059425723,0.097985,0.079563,0.10078,-0.337125,-0.202588,0.314552,0.263722,0.257227,0.050471,1
1059459057,0.093446,0.081114,0.097402,0.827998,-0.822852,0.270499,0.393027,0.035804,0.21312,1
1059492391,0.109292,0.11577,0.091672,-1.81348,-0.39641,0.739323,0.207766,-0.098275,0.193622,1
1059525725,0.114844,0.09154,0.106737,-0.653785,0.213266,-0.096961,0.077586,-0.157068,0.022672,1
1059559059,0.113755,0.136192,0.084772,-0.278192,-0.206946,0.163558,0.279614,-0.14925,0.178206,1
1059592393,0.097281,0.200839,0.076695,-0.24098,0.191106,-0.150275,0.228367,-0.408783,0.241922,1
1059625727,0.066404,0.216191,0.10931,0.240878,0.974205,-1.073279,-0.246469,0.379396,-0.120255,1
1059659061,0.069164,0.188512,0.042574,-0.19654,-0.124108,0.009423,0.015053,0.058675,0.037724,1
1059692395,0.080463,0.119516,0.098115,0.721239,-0.764744,0.989868,0.317445,0.944665,-0.195743,1
1059725729,0.090648,0.040306,0.096506,1.385238,0.254576,-1.661969,0.379785,-0.013455,-0.163757,1
1059759063,0.173994,-0.037824,0.133258,0.268009,0.585532,-0.078512,0.02039,-0.460167,0.735691,1
1059792397,0.137485,0.02564,0.144845,0.430485,0.315701,0.067885,0.789353,0.36998,0.312722,1
1059825731,0.151907,0.070117,0.133869,0.806179,0.61201,-0.564972,-0.095479,-0.635325,0.022711,1
1059859065,0.105146,0.070723,0.115257,0.152861,0.100988,-0.44503,0.304232,-0.985183,-0.072081,1
1059892399,0.033386,0.110031,0.075876,-0.179096,-0.031742,-0.360604,0.493883,0.387642,-0.387621,1
1059925733,0.029906,0.147825,0.088752,-1.447252,-0.089334,-0.063701,-0.274982,1.60141,-0.808002,1
1059959067,0.103749,0.078363,0.117913,-0.561813,-0.723112,0.495219,0.081774,1.399563,0.063164,1
1059992401,0.205391,0.049751,0.06977,0.748782,-0.569345,0.338213,-0.461585,-0.671839,0.579573,1
1060025735,0.219132,0.130357,0.132864,-0.19397,-0.048016,0.091111,-0.345284,0.499464,0.246288,1
1060059069,0.204829,0.142468,0.105578,-0.508046,-0.482423,0.637167,-0.601509,0.062408,-0.13216,1
